Date,SP_Price,Open,High,Low,Vol.,Change %
4-Mar-19,"2,792.81","2,814.37","2,816.88","2,767.66",-,-0.39%
1-Mar-19,"2,803.69","2,798.22","2,808.02","2,787.38",-,0.69%
28-Feb-19,"2,784.49","2,788.11","2,793.73","2,782.51",-,-0.28%
27-Feb-19,"2,792.38","2,787.50","2,795.76","2,775.13",-,-0.05%
26-Feb-19,"2,793.90","2,792.36","2,803.12","2,789.47",-,-0.08%
25-Feb-19,"2,796.11","2,804.35","2,813.49","2,794.99",-,0.12%
22-Feb-19,"2,792.67","2,780.67","2,794.20","2,779.11",-,0.64%
21-Feb-19,"2,774.88","2,780.24","2,781.58","2,764.55",-,-0.35%
20-Feb-19,"2,784.70","2,779.05","2,789.88","2,774.06",-,0.18%
19-Feb-19,"2,779.76","2,769.28","2,787.33","2,767.29",-,0.15%
15-Feb-19,"2,775.60","2,760.24","2,775.66","2,760.24",-,1.09%
14-Feb-19,"2,745.73","2,743.50","2,757.90","2,731.23",-,-0.27%
13-Feb-19,"2,753.03","2,750.30","2,761.85","2,748.63",-,0.30%
12-Feb-19,"2,744.73","2,722.61","2,748.19","2,722.61",-,1.29%
11-Feb-19,"2,709.80","2,712.40","2,718.05","2,703.79",-,0.07%
8-Feb-19,"2,707.88","2,692.36","2,708.07","2,681.83",-,0.07%
7-Feb-19,"2,706.05","2,717.53","2,719.32","2,687.26",-,-0.94%
6-Feb-19,"2,731.61","2,735.05","2,738.08","2,724.15",-,-0.22%
5-Feb-19,"2,737.70","2,728.34","2,738.98","2,724.03",-,0.47%
4-Feb-19,"2,724.87","2,706.49","2,724.99","2,698.75",-,0.68%
1-Feb-19,"2,706.53","2,702.32","2,716.66","2,696.88",-,0.09%
31-Jan-19,"2,704.10","2,685.49","2,708.95","2,678.65",-,0.86%
30-Jan-19,"2,681.05","2,653.62","2,690.44","2,648.34",-,1.55%
29-Jan-19,"2,640.00","2,644.89","2,650.93","2,631.05",-,-0.15%
28-Jan-19,"2,643.85","2,644.97","2,644.97","2,624.06",-,-0.78%
25-Jan-19,"2,664.76","2,657.44","2,672.38","2,657.33",-,0.85%
24-Jan-19,"2,642.33","2,638.84","2,647.20","2,627.01",-,0.14%
23-Jan-19,"2,638.70","2,643.48","2,653.19","2,612.86",-,0.22%
22-Jan-19,"2,632.90","2,657.88","2,657.88","2,617.27",-,-1.42%
18-Jan-19,"2,670.71","2,651.27","2,675.47","2,647.58",-,1.32%
17-Jan-19,"2,635.96","2,609.28","2,645.06","2,606.36",-,0.76%
16-Jan-19,"2,616.10","2,614.75","2,625.76","2,612.68",-,0.22%
15-Jan-19,"2,610.30","2,585.10","2,613.08","2,585.10",-,1.07%
14-Jan-19,"2,582.61","2,580.31","2,589.32","2,570.41",-,-0.53%
11-Jan-19,"2,596.26","2,588.11","2,596.27","2,577.40",-,-0.01%
10-Jan-19,"2,596.64","2,573.51","2,597.82","2,562.02",-,0.45%
9-Jan-19,"2,584.96","2,580.00","2,595.32","2,568.89",-,0.41%
8-Jan-19,"2,574.41","2,568.11","2,579.82","2,547.56",-,0.97%
7-Jan-19,"2,549.69","2,535.61","2,566.16","2,524.56",-,0.70%
4-Jan-19,"2,531.94","2,474.33","2,538.07","2,474.33",-,3.43%
3-Jan-19,"2,447.89","2,491.92","2,493.14","2,443.96",-,-2.48%
2-Jan-19,"2,510.03","2,476.96","2,519.49","2,467.47",-,0.13%
31-Dec-18,"2,506.85","2,498.94","2,509.24","2,482.82",-,0.85%
28-Dec-18,"2,485.74","2,498.77","2,520.27","2,472.89",-,-0.12%
27-Dec-18,"2,488.83","2,442.50","2,489.10","2,397.94",-,0.86%
26-Dec-18,"2,467.70","2,363.12","2,467.76","2,346.58",-,4.96%
24-Dec-18,"2,351.10","2,400.56","2,410.34","2,351.10",-,-2.71%
21-Dec-18,"2,416.62","2,465.38","2,504.41","2,408.55",-,-2.06%
